schema_version	run_id	experiment_id	run_kind	status	artifact_type	path	size_bytes	sha256	source_checkpoint_sha256	selection_rule
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	g2_formal_result	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/g2_formal_result.json	8020	a68483e6fdca751b8a348fd6a84717bbfa086292c0f760b4f0651830e8c854c4	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	g2_gating_analysis_manifest	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/g2_gating_analysis_manifest.json	3438	89b68a20fd822e2e354ea729b49ae25563a2ac5cb6b994dab62d54660fb0e4f8	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	gating_epoch_statistics	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/dynamic_gating_epoch_stats.jsonl	104188	d85c0df4207490123cd3e7d74b69e80acd7c30b959c0f79ab9c3e590ca59a59b	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	gating_samples	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/gating_samples.tsv	71504	d30bccbf95024495cc6e946eaf7f60b841e0192f72f0fb60fb5f1468ff932372	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	sha256(stable_sample_key) ascending; first 256 query+gallery samples
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	reproducibility	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/reproducibility.json	3293	d988a726a02884dddcf96317f5e0984b6ba7bcb236c6e9b2200b9c2d1fc445b9	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	resolved_config_origin	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/config_resolved.yml	2944	fd0f59f13d0dc762b97ece82ad6c821d00e67dbc76b6e8a1e3b7769a7ab8a882	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	resolved_config_snapshot	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/config_resolved.yml	2944	fd0f59f13d0dc762b97ece82ad6c821d00e67dbc76b6e8a1e3b7769a7ab8a882	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	run_evidence_manifest	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/evidence_manifest.tsv	10587	21e60bd6c043acef07727a029239b411f52cc2ffd6b316b00c359622c80ea60a	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	run_manifest	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/run_manifest.json	22133	bd6aa7aa538bceda146c514069c1c627039bf08d3ab7662cd9e5299c1edaf0f0	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	run_status	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/run_status.json	253	39563460c2242085c57b42658fa85cd4d145f1ce31046668ed2add87d03f6c56	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	selected_checkpoint	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/resnet50_checkpoint_22320.pt	327027980	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	highest Rank-1; if tied, highest mAP; if still tied, earliest epoch
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	source_config	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/config_source.yml	1901	b6893fa550145dacc462250ad774b81dc8599b6b250f95c4905e7ac4bb43b2cd	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	source_config_origin	/root/autodl-tmp/BoT-reid-g2-global-local/configs/softmax_triplet_c2_l03_multi_granularity_dynamic_gating_g2_global_local_autodl.yml	1901	b6893fa550145dacc462250ad774b81dc8599b6b250f95c4905e7ac4bb43b2cd	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	training_log	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/log.txt	406466	320267b3c934e328850ad717a538d7dde23830698cd5d23b836842aaba893f31	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	validation_history	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/validation_history.jsonl	860	51b6d2d1d5d9276056c815e2e28a5f60eb8c63f819b4ff4f5d0cfbc352ec6d42	not_applicable	not_applicable
