variant,baseline,branch,branch_tip,expected_experiment_id,formal_status,implementation_contract,expected_native_weight_sum,formal_evidence_access,training_branch,formal_training_commit,source_config_sha256,resolved_config_sha256,seed,dataset,temperature,normalization,scale_order,selected_checkpoint_sha256,selected_epoch,rank1,map,query_gallery_protocol,source_config_artifact_status,resolved_config_artifact_status,selected_checkpoint_artifact_status,gating_samples_artifact_status,dynamic_gating_summary_artifact_status,audit_error
G2-global-local,G2-global-local,origin/codex/g2-global-local-gating,5a9a2a33e19f3d9dfc3afaf356dc8b9ee3f0f737,C2-L03-MGDG-G2-GL-T1-S42,success,confirmed,3.0,formal_registered_artifacts_not_archived,codex/g2-global-local-gating,fa4e7f88f7ab645e9ba6b9a8e6cffdd9056b36c8,b6893fa550145dacc462250ad774b81dc8599b6b250f95c4905e7ac4bb43b2cd,fd0f59f13d0dc762b97ece82ad6c821d00e67dbc76b6e8a1e3b7769a7ab8a882,42,market1501,1.0,scaled_softmax,"2,4,6",49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45,120,94.83373165130615,87.64558553090099,sha256(stable_sample_key) ascending; first 256 query+gallery samples,not_archived,not_archived,not_archived,not_archived,not_archived,N/A
G1,G2-global-local,origin/exp/c2-l03-multi-granularity-dynamic-gating,f5681c776b887b6cb20c797a904b88b84cbb7eb3,C2-L03-MGDG-T1-S42,missing_formal_evidence,confirmed,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-local-only,G2-global-local,origin/codex/g2-local-only,73df50e67691973f1b0ff0d5706ddedbef091057,C2-L03-MGDG-G2-LOCAL-T1-S42,missing_formal_evidence,confirmed,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-without-z6,G2-global-local,origin/codex/g2-without-z6,1ef9eabc3cb58d6ef9d2d8f9eb1b1debbc72bf5f,C2-L03-MGDG-G2-WITHOUT-Z6-T1-S42,success,confirmed,1.0,formal_registered_artifacts_not_archived,codex/g2-without-z6,cc6f8314384513ac695b1a440dbf281e282eb40e,b02ea63fc40c3274e3aa8cb6ca128cf486abed6288eb664872e9718db5cbe662,1a94f6009c8e824ced3c0ac7013f983990cef18a58d53ea3eab343415aed7476,42,market1501,1.0,scaled_softmax,"2,4",67774d7d2bf04316dcf6e5e304b727bf039b3723ef899c124e77d50f543126f1,120,94.83373165130615,87.46649903306654,sha256(stable_sample_key) ascending; first 256 query+gallery samples,not_archived,not_archived,not_archived,not_archived,not_archived,N/A
G2-without-z4,G2-global-local,origin/codex/g2-without-z4,c1d169cd9974365bbd795293a8b827e97baa8f3f,C2-L03-MGDG-G2-WITHOUT-Z4-T1-S42,missing_formal_evidence,confirmed,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-without-z2,G2-global-local,origin/codex/g2-without-z2,e856ae4225cc7906541594cc09d013f406c49f22,C2-L03-MGDG-G2-WITHOUT-Z2-T1-S42,missing_formal_evidence,confirmed,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
